@timestamp,rule.id,rule.description,rule.groups,data.level,data.ui,data.srcip,data.src_ip,data.action,data.dstip,data.srccountry,rule.mitre.id,rule.mitre.tactic,rule.mitre.technique,agent.name,is_false_positive,data.alert.signature,data.dest_ip,data.dest_port,syscheck.path,data.win.system.eventID
2026-04-22T04:00:01Z,81606,Fortigate: Login failed.,authentication_failed,alert,85.11.187.8,,,login,10.0.0.1,Russia,T1110.003,Credential Access,Password Spraying,VGIL_FW,false,,,,,
2026-04-22T04:00:02Z,81606,Fortigate: Login failed.,authentication_failed,alert,93.152.221.10,,,login,10.0.0.1,Russia,T1110.003,Credential Access,Password Spraying,VGIL_FW,false,,,,,
2026-04-22T04:00:02Z,81606,Fortigate: Login failed.,authentication_failed,alert,85.11.187.48,,,login,10.0.0.1,Russia,T1110.003,Credential Access,Password Spraying,VGIL_FW,false,,,,,
2026-04-22T04:00:04Z,81606,Fortigate: Login failed.,authentication_failed,alert,85.11.187.48,,,login,10.0.0.1,Russia,T1110.003,Credential Access,Password Spraying,VGIL_FW,false,,,,,
2026-04-22T04:00:04Z,86601,Suricata: Alert - ET INFO RDP Response To External Host,suricata,alert,,,164.52.194.98,allowed,,India,T1021.001,Lateral Movement,Remote Desktop Protocol,VGIL_IDS,false,ET INFO RDP Response To External Host,212.33.228.61,3389,,
2026-04-22T04:00:05Z,86601,Suricata: Alert - ET INFO RDP Response To External Host,suricata,alert,,,164.52.194.98,allowed,,India,T1021.001,Lateral Movement,Remote Desktop Protocol,VGIL_IDS,false,ET INFO RDP Response To External Host,226.111.145.116,3389,,
2026-04-22T04:00:05Z,62103,Fortigate: Blocked URL.,firewall,warning,192.168.1.111,192.168.1.111,,blocked,31.13.93.1,India,,,,VGIL_FW,false,,,443,,
2026-04-22T04:00:06Z,81606,Fortigate: Login failed.,authentication_failed,alert,85.11.187.36,,,login,10.0.0.1,Russia,T1110.003,Credential Access,Password Spraying,VGIL_FW,false,,,,,
2026-04-22T04:00:07Z,81606,Fortigate: Login failed.,authentication_failed,alert,85.11.187.32,,,login,10.0.0.1,Russia,T1110.003,Credential Access,Password Spraying,VGIL_FW,false,,,,,
2026-04-22T04:00:07Z,86601,Suricata: Alert - ET INFO RDP Response To External Host,suricata,alert,,,164.52.194.98,allowed,,India,T1021.001,Lateral Movement,Remote Desktop Protocol,VGIL_IDS,false,ET INFO RDP Response To External Host,217.127.116.111,3389,,
2026-04-22T04:00:08Z,86601,Suricata: Alert - ET INFO RDP Response To External Host,suricata,alert,,,164.52.194.98,allowed,,India,T1021.001,Lateral Movement,Remote Desktop Protocol,VGIL_IDS,false,ET INFO RDP Response To External Host,9.244.124.181,3389,,
2026-04-22T04:00:08Z,86601,Suricata: Alert - ET INFO RDP Response To External Host,suricata,alert,,,164.52.194.98,allowed,,India,T1021.001,Lateral Movement,Remote Desktop Protocol,VGIL_IDS,false,ET INFO RDP Response To External Host,207.62.176.242,3389,,
2026-04-22T04:00:09Z,81606,Fortigate: Login failed.,authentication_failed,alert,85.11.187.40,,,login,10.0.0.1,Russia,T1110.003,Credential Access,Password Spraying,VGIL_FW,false,,,,,
2026-04-22T04:00:09Z,86601,Suricata: Alert - ET INFO RDP Response To External Host,suricata,alert,,,164.52.194.98,allowed,,India,T1021.001,Lateral Movement,Remote Desktop Protocol,VGIL_IDS,false,ET INFO RDP Response To External Host,47.50.140.82,3389,,
2026-04-22T04:00:09Z,5710,sshd: brute force trying to get access to the system.,sshd,alert,,,103.204.167.14,denied,10.0.0.5,China,T1110.001,Credential Access,Brute Force,VGIL_LINUX,false,ET INFO SSH-2.0-Go version string Observed,10.0.0.5,22,,
2026-04-22T04:00:09Z,62103,Fortigate: Blocked URL.,firewall,warning,192.168.1.111,192.168.1.111,,blocked,31.13.93.1,India,,,,VGIL_FW,false,,,443,,
2026-04-22T04:00:11Z,81606,Fortigate: Login failed.,authentication_failed,alert,85.11.183.4,,,login,10.0.0.1,Russia,T1110.003,Credential Access,Password Spraying,VGIL_FW,false,,,,,
2026-04-22T04:00:11Z,5710,sshd: brute force trying to get access to the system.,sshd,alert,,,1.214.173.116,denied,10.0.0.5,China,T1110.001,Credential Access,Brute Force,VGIL_LINUX,false,ET INFO SSH-2.0-Go version string Observed,10.0.0.5,22,,
2026-04-22T04:00:12Z,81606,Fortigate: Login failed.,authentication_failed,alert,85.11.187.8,,,login,10.0.0.1,Russia,T1110.003,Credential Access,Password Spraying,VGIL_FW,false,,,,,
